time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-10-20T18:46:48.430Z,35.77,-117.5815,6.93,1.46,ml,23,81,0.04746,0.17,ci,ci39838567,2021-10-20T18:50:28.585Z,"16km W of Searles Valley, CA",earthquake,0.3,0.6,0.131,22,automatic,ci,ci
2021-10-20T18:41:32.050Z,19.1720008850098,-155.500335693359,35.6599998474121,2.17000008,md,40,106,,0.119999997,hv,hv72763802,2021-10-20T18:44:41.950Z,"4 km SSW of Pāhala, Hawaii",earthquake,0.59,0.939999998,1.30999994,20,automatic,hv,hv
2021-10-20T18:34:30.320Z,38.8095016,-122.805336,1.11,0.84,md,6,93,0.007987,0.01,nc,nc73641985,2021-10-20T18:48:10.530Z,"6km NW of The Geysers, CA",earthquake,0.48,2.12,,1,automatic,nc,nc
2021-10-20T18:26:57.970Z,33.496,-116.5105,12.84,1,ml,31,57,0.06368,0.17,ci,ci39838551,2021-10-20T18:30:34.006Z,"16km ESE of Anza, CA",earthquake,0.24,0.5,0.177,22,automatic,ci,ci
2021-10-20T17:55:06.000Z,38.7931671,-122.8075027,3.33,0.94,md,17,88,0.005947,0.02,nc,nc73641975,2021-10-20T18:27:12.413Z,"5km WNW of The Geysers, CA",earthquake,0.33,0.82,0.2,3,automatic,nc,nc
2021-10-20T17:54:49.670Z,38.5116653,-119.4998322,6.84,1.63,md,7,76,0.04891,0.05,nc,nc73641970,2021-10-20T18:17:11.600Z,"2km W of Walker, CA",earthquake,0.47,0.9,0.12,5,automatic,nc,nc
2021-10-20T17:52:54.176Z,63.2693,-151.064,7.8,1.6,ml,,,,0.77,ak,ak021dguwbe1,2021-10-20T17:56:04.926Z,"44 km SE of Denali National Park, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-10-20T17:05:48.120Z,38.8166656,-122.7955017,2.23,0.84,md,8,109,0.008686,0.01,nc,nc73641960,2021-10-20T18:30:10.428Z,"6km NW of The Geysers, CA",earthquake,0.37,0.86,,1,automatic,nc,nc
2021-10-20T16:42:06.690Z,19.2003326416016,-155.434173583984,32.2799987792969,1.88999999,md,35,144,,0.119999997,hv,hv72763682,2021-10-20T16:45:15.100Z,"4 km E of Pāhala, Hawaii",earthquake,0.62,0.839999974,0.939999998,3,automatic,hv,hv
2021-10-20T16:32:35.629Z,60.4266,-139.9708,0,2.4,ml,,,,0.91,ak,ak021dgu6jxk,2021-10-20T16:45:47.490Z,"98 km N of Yakutat, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-20T16:32:14.980Z,38.8258324,-122.7986679,2.64,0.63,md,8,104,0.009236,0.02,nc,nc73641950,2021-10-20T18:08:12.301Z,"6km NW of The Geysers, CA",earthquake,0.42,0.98,,1,automatic,nc,nc
2021-10-20T16:31:24.903Z,59.0329,-154.0485,100.8,1.8,ml,,,,0.29,ak,ak021dgu6bhm,2021-10-20T16:34:25.684Z,"61 km SE of Kokhanok, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-10-20T16:25:17.180Z,33.5631667,-116.6651667,10.17,0.41,ml,21,45,0.02911,0.1,ci,ci39838415,2021-10-20T17:55:25.635Z,"1km NE of Anza, CA",earthquake,0.17,0.32,0.088,4,reviewed,ci,ci
2021-10-20T16:20:20.435Z,59.5503,-152.9622,86.4,1.9,ml,,,,0.46,ak,ak021dgu3y9a,2021-10-20T16:26:14.768Z,"62 km WNW of Nanwalek, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-20T16:09:20.910Z,33.6735,-116.7545,13.66,0.43,ml,14,121,0.05042,0.06,ci,ci39838383,2021-10-20T17:44:32.182Z,"8km SSW of Idyllwild, CA",earthquake,0.26,0.35,0.253,4,reviewed,ci,ci
2021-10-20T15:57:26.434Z,38.3639,-118.1671,5.7,0.5,ml,8,104.75,0.07,0.0391,nn,nn00826259,2021-10-20T16:01:34.511Z,"5 km WSW of Mina, Nevada",earthquake,,3.4,0.39,4,automatic,nn,nn
2021-10-20T15:52:28.783Z,38.1529,-117.9064,9.3,1.6,ml,21,67.42,0.027,0.1074,nn,nn00826255,2021-10-20T17:14:52.369Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.21,12,reviewed,nn,nn
2021-10-20T15:47:00.987Z,65.0143,-152.0819,8.9,1.5,ml,,,,0.54,ak,ak021dgto9hu,2021-10-20T15:50:10.696Z,"17 km S of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-10-20T15:45:17.510Z,19.195499420166,-155.412826538086,34.0800018310547,1.91999996,md,42,158,,0.109999999,hv,hv72763632,2021-10-20T15:48:36.510Z,"6 km E of Pāhala, Hawaii",earthquake,0.7,0.829999983,0.629999995,3,automatic,hv,hv
2021-10-20T15:41:46.370Z,63.4659,-148.421,5.5,1.6,ml,,,,0.48,ak,ak021dgtn2p7,2021-10-20T15:47:00.212Z,"27 km ENE of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-10-20T15:17:23.530Z,33.2393333,-116.0063333,4.99,1.23,ml,36,86,0.04413,0.18,ci,ci39838335,2021-10-20T18:03:27.380Z,"8km SW of Salton City, CA",earthquake,0.2,0.55,0.065,18,reviewed,ci,ci
2021-10-20T14:53:06.560Z,19.1546669006348,-155.486831665039,31.3799991607666,1.83000004,md,41,154,,0.129999995,hv,hv72763602,2021-10-20T14:56:23.210Z,"5 km S of Pāhala, Hawaii",earthquake,0.63,1.26999998,0.800000012,7,automatic,hv,hv
2021-10-20T14:47:13.010Z,44.3345,-110.6435,3.72,0.98,md,7,165,0.07747,0.07,uu,uu60029284,2021-10-20T16:26:24.090Z,"51 km SE of West Yellowstone, Montana",earthquake,0.58,1.12,0.257,6,reviewed,uu,uu
